ID	xref	prefLabel
https://purl.brain-bican.org/ontology/pbao/PBA_128011674		inner ventricular zone of rostral cingulate cortex
https://purl.brain-bican.org/ontology/pbao/PBA_128011776		marginal zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011788		outer cortical plate of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011796		layer II of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011800		layer III of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011804		granular layer IV of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011808		inner cortical plate (infragranular layer) of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011812		layer V of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011816		layer VI of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011820		subplate zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011824		intermediate zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011828		subventricular zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011832		outer subventricular zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011836		inner subventricular zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011840		ventricular zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011844		outer ventricular zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011848		inner ventricular zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_128011876		lateral (anterior) entorhinal cortex (LEC)
https://purl.brain-bican.org/ontology/pbao/PBA_128011900		layer II of LEC
https://purl.brain-bican.org/ontology/pbao/PBA_128011936		medial (posterior) entorhinal cortex (MEC)
https://purl.brain-bican.org/ontology/pbao/PBA_128011960		layer II of MEC
https://purl.brain-bican.org/ontology/pbao/PBA_128012080		perirhinal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_128012084		medial perirhinal cortex (area 35)
https://purl.brain-bican.org/ontology/pbao/PBA_128012120		layer V of perirhinal cortex (area 35)
https://purl.brain-bican.org/ontology/pbao/PBA_128012144		lateral perirhinal cortex (area 36)
https://purl.brain-bican.org/ontology/pbao/PBA_128012220		marginal zone of dentate gyrus (cortex)
https://purl.brain-bican.org/ontology/pbao/PBA_128012226		granular layer anlage of dentate gyrus (cortex)
https://purl.brain-bican.org/ontology/pbao/PBA_128012232		subgranular layer anlage of dentate gyrus (cortex)
https://purl.brain-bican.org/ontology/pbao/PBA_128012238		polyform layer anlage of dentate gyrus (cortex)
https://purl.brain-bican.org/ontology/pbao/PBA_128012244		hippocampal proper
https://purl.brain-bican.org/ontology/pbao/PBA_128012250		marginal zone of CA1
https://purl.brain-bican.org/ontology/pbao/PBA_128012258		hippocampal plate of CA1
https://purl.brain-bican.org/ontology/pbao/PBA_128012264		hippocampal subplate of CA1
https://purl.brain-bican.org/ontology/pbao/PBA_128012270		hippocampal intermediate zone of CA1
https://purl.brain-bican.org/ontology/pbao/PBA_128012274		hippocampal subventricular zone of CA1
https://purl.brain-bican.org/ontology/pbao/PBA_128012278		hippocampal ventricular zone of CA1
https://purl.brain-bican.org/ontology/pbao/PBA_128012284		marginal zone of CA2
https://purl.brain-bican.org/ontology/pbao/PBA_128012292		hippocampal plate of CA2
https://purl.brain-bican.org/ontology/pbao/PBA_128012298		hippocampal subplate of CA2
https://purl.brain-bican.org/ontology/pbao/PBA_128012318		marginal zone of CA3
https://purl.brain-bican.org/ontology/pbao/PBA_128012326		hippocampal plate of CA3
https://purl.brain-bican.org/ontology/pbao/PBA_128012332		hippocampal subplate of CA3
https://purl.brain-bican.org/ontology/pbao/PBA_128012354		subicular cortex
https://purl.brain-bican.org/ontology/pbao/PBA_128012368		hippocampal plate of subiculum
https://purl.brain-bican.org/ontology/pbao/PBA_128012372		pyramidal layer of subiculum
https://purl.brain-bican.org/ontology/pbao/PBA_128012400		rostral (anterior) presubiculum
https://purl.brain-bican.org/ontology/pbao/PBA_128012404		caudal (posterior) presubiculum
https://purl.brain-bican.org/ontology/pbao/PBA_128012418		subpial granular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012422		marginal zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012428		cortical plate of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012432		outer cortical plate of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012436		supragranular layer of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012458		inner cortical plate (infragranular layer) of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012466		subplate zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012470		intermediate cell dense zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012474		intermediate zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012478		subventricular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012482		outer subventricular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012486		inner subventricular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012490		ventricular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012494		outer ventricular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012498		inner ventricular zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_128012584		rostral migratory stream (RMS)
https://purl.brain-bican.org/ontology/pbao/PBA_128012588		ventricular portion of RMS
https://purl.brain-bican.org/ontology/pbao/PBA_128012596		cerebral nuclei
https://purl.brain-bican.org/ontology/pbao/PBA_128012616		corticomedial amygdaloid nucleus
https://purl.brain-bican.org/ontology/pbao/PBA_128012620		periamygdaloid cortex (cortical amygdaloid nucleus)
https://purl.brain-bican.org/ontology/pbao/PBA_128012634		caudal periamygdaloid cortex (cPAC)
https://purl.brain-bican.org/ontology/pbao/PBA_128012638		caudal periamygdaloid cortex, dorsal part
https://purl.brain-bican.org/ontology/pbao/PBA_128012678		basolateral nuclear complex
https://purl.brain-bican.org/ontology/pbao/PBA_128012818		ganglionic eminence (VZ in basal nuclei)
https://purl.brain-bican.org/ontology/pbao/PBA_128012822		lateral ganglionic eminence
https://purl.brain-bican.org/ontology/pbao/PBA_128012834		medial ganglionic eminence
https://purl.brain-bican.org/ontology/pbao/PBA_128012846		caudal ganglionic eminence
https://purl.brain-bican.org/ontology/pbao/PBA_128012920		shell of nucleus accumbens, medial part
https://purl.brain-bican.org/ontology/pbao/PBA_128012926		main island of Calleja
https://purl.brain-bican.org/ontology/pbao/PBA_128012960		claustrum
https://purl.brain-bican.org/ontology/pbao/PBA_128012976		basal forebrain
https://purl.brain-bican.org/ontology/pbao/PBA_128013010		diencephalon
https://purl.brain-bican.org/ontology/pbao/PBA_128013014		thalamus
https://purl.brain-bican.org/ontology/pbao/PBA_128013018		dorsal thalamus
https://purl.brain-bican.org/ontology/pbao/PBA_128013070		lateral geniculate nucleus
https://purl.brain-bican.org/ontology/pbao/PBA_128013074		dorsal lateral geniculate nucleus
https://purl.brain-bican.org/ontology/pbao/PBA_128013078		dorsal lateral geniculate nucleus, magnocellular layers
https://purl.brain-bican.org/ontology/pbao/PBA_128013091		dorsal lateral geniculate nucleus, parvocellular layers
https://purl.brain-bican.org/ontology/pbao/PBA_128013113		dorsal lateral geniculate nucleus, koniocellular layers
https://purl.brain-bican.org/ontology/pbao/PBA_128013147		epithalamus
https://purl.brain-bican.org/ontology/pbao/PBA_12984		dorsolateral prefrontal cortex (areas 9 and 46)
https://purl.brain-bican.org/ontology/pbao/PBA_12986		layer II of dorsolateral prefrontal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_12987		layer III of dorsolateral prefrontal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_12988		granular layer IV of dorsolateral prefrontal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_12989		layer V of dorsolateral prefrontal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_12990		layer VI of dorsolateral prefrontal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_159658800		outer fiber (plexiform) zone of rostral cingulate cortex
https://purl.brain-bican.org/ontology/pbao/PBA_159658804		inner fiber (plexiform) zone of rostral cingulate cortex
https://purl.brain-bican.org/ontology/pbao/PBA_159658808		outer fiber (plexiform) zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_159658816		inner fiber (plexiform) zone of S1
https://purl.brain-bican.org/ontology/pbao/PBA_159658820		dentate migratory stream
https://purl.brain-bican.org/ontology/pbao/PBA_159658824		cortical hem
https://purl.brain-bican.org/ontology/pbao/PBA_159658836		outer fiber (plexiform) zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_159658840		transitory migratory zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_159658844		inner fiber (plexiform) zone of V1
https://purl.brain-bican.org/ontology/pbao/PBA_159658852		lateral ganglionic eminence-cortex border
https://purl.brain-bican.org/ontology/pbao/PBA_294021746		neocortex
https://purl.brain-bican.org/ontology/pbao/PBA_294021766		subpial granular zone
https://purl.brain-bican.org/ontology/pbao/PBA_294021774		marginal zone
https://purl.brain-bican.org/ontology/pbao/PBA_294021786		layer I
https://purl.brain-bican.org/ontology/pbao/PBA_294021800		layer II
https://purl.brain-bican.org/ontology/pbao/PBA_294021818		layer II/III
https://purl.brain-bican.org/ontology/pbao/PBA_294021824		layer III
https://purl.brain-bican.org/ontology/pbao/PBA_294021842		cortical plate (outer)
https://purl.brain-bican.org/ontology/pbao/PBA_294021852		layer IV
https://purl.brain-bican.org/ontology/pbao/PBA_294021878		layer V
https://purl.brain-bican.org/ontology/pbao/PBA_294021896		layer VI
https://purl.brain-bican.org/ontology/pbao/PBA_294021914		cortical plate
https://purl.brain-bican.org/ontology/pbao/PBA_294021920		cortical plate (inner)
https://purl.brain-bican.org/ontology/pbao/PBA_294021932		subplate
https://purl.brain-bican.org/ontology/pbao/PBA_294021942		intermediate zone
https://purl.brain-bican.org/ontology/pbao/PBA_294021954		transitory migratory zone
https://purl.brain-bican.org/ontology/pbao/PBA_294021960		outer fiber zone
https://purl.brain-bican.org/ontology/pbao/PBA_294021970		subventricular zone
